TranscriptIDCluster_5p	ExonIDCluster_5p	S_exonID_5p	TranscriptIDCluster_3p	ExonIDCluster_3p	S_exonID_3p	Species	n_lib	Experiment_ID	Ammon's horn	CD4-positive helper T cell	adipose tissue	adrenal gland	adrenal tissue	adult mammalian kidney	adult organism	blastula	bone marrow	bone marrow macrophage	bone tissue	brain	brown adipose tissue	cerebellum	cerebral cortex	colon	corpus callosum	egg cell	embryo	embryonic stem cell	eye	female gonad	female reproductive system	fibroblast	frontal cortex	gastrula	head	head kidney	heart	heart left ventricle	intestine	kidney	larva	leukocyte	liver	lung	lymph node	male reproductive system	mature ovarian follicle	mesonephros	multi-cellular organism	multi-tissue structure	muscle of leg	muscle tissue	peripheral blood mononuclear cell	pharyngeal gill	pharyngeal muscle cell (C elegans)	placenta	prefrontal cortex	prostate gland	rectum	skeletal muscle tissue	spleen	stomach	tail	temporal lobe	testis	thoracic mammary gland	thymus	thyroid gland	zone of skin
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000247294	22_0	bos_taurus	33	GSE43013						1.3253871613839776e-06																													4.663207193046435e-06														1.0304403856494583e-06												
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000073370	ENSBTAE00000247294	22_0	bos_taurus	33	GSE41637						2.249404866491446e-06						8.019279634587766e-07				1.3448415316701932e-06													2.5042549308342794e-07						4.289376138197698e-06	5.473372700295437e-06																1.4005324925903357e-07	5.33717378391961e-07				3.0342626760863454e-07				
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000073370	ENSBTAE00000247294	22_0	bos_taurus	33	GSE43013						1.3253871613839776e-06																													4.663207193046435e-06														1.0304403856494583e-06												
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000076425	ENSBTAE00000247294	22_0	bos_taurus	33	GSE41637						2.249404866491446e-06						8.019279634587766e-07				1.3448415316701932e-06													2.5042549308342794e-07						4.289376138197698e-06	5.473372700295437e-06																1.4005324925903357e-07	5.33717378391961e-07				3.0342626760863454e-07				
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000076425	ENSBTAE00000247294	22_0	bos_taurus	33	GSE43013						1.3253871613839776e-06																													4.663207193046435e-06														1.0304403856494583e-06												
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000084166	ENSBTAE00000247294	22_0	bos_taurus	33	GSE41637						2.249404866491446e-06						8.019279634587766e-07				1.3448415316701932e-06													2.5042549308342794e-07						4.289376138197698e-06	5.473372700295437e-06																1.4005324925903357e-07	5.33717378391961e-07				3.0342626760863454e-07				
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000084166	ENSBTAE00000247294	22_0	bos_taurus	33	GSE43013						1.3253871613839776e-06																													4.663207193046435e-06														1.0304403856494583e-06												
ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121290	14_0	ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121290	14_0	ENSBTAT00000073370	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121290	14_0	ENSBTAT00000076425	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121290	14_0	ENSBTAT00000084166	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000073370	ENSBTAE00000121290	14_0	ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000073370	ENSBTAE00000121290	14_0	ENSBTAT00000073370	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000073370	ENSBTAE00000121290	14_0	ENSBTAT00000076425	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000073370	ENSBTAE00000121290	14_0	ENSBTAT00000084166	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000076425	ENSBTAE00000121290	14_0	ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000076425	ENSBTAE00000121290	14_0	ENSBTAT00000073370	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000076425	ENSBTAE00000121290	14_0	ENSBTAT00000076425	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000076425	ENSBTAE00000121290	14_0	ENSBTAT00000084166	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000014951/ENSBTAT00000072917	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000073370	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000076425	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
ENSBTAT00000084166	ENSBTAE00000121290	14_0	ENSBTAT00000084166	ENSBTAE00000121297	19_0	bos_taurus	1	GSE41637																																			2.534636280010648e-08																										
